"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","segment","year","sim"
"State.fin[1]",1.45782666666667,0.498219065635804,1,1,1,2,2,0.999999982955426,3e+05,0,1,"State.fin[1]",1,1,1
"State.fin[2]",1.40986333333333,0.491809096678966,1,1,1,2,2,0.999996626746929,3e+05,0,1,"State.fin[2]",2,1,1
"State.fin[3]",1.41462666666667,0.492658302473664,1,1,1,2,2,1.00000085060412,3e+05,0,1,"State.fin[3]",3,1,1
"State.fin[4]",1.41520666666667,0.492758460091645,1,1,1,2,2,0.999998648984584,3e+05,0,1,"State.fin[4]",4,1,1
"State.fin[5]",1.40088,0.490077571601429,1,1,1,2,2,0.999997788605478,3e+05,0,1,"State.fin[5]",5,1,1
"State.fin[6]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[6]",6,1,1
"State.fin[7]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[7]",7,1,1
"State.fin[8]",1.59147333333333,0.491562238921656,1,1,2,2,2,0.999997768327945,3e+05,0,1,"State.fin[8]",8,1,1
"State.fin[9]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[9]",9,1,1
"State.fin[10]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[10]",10,1,1
"State.fin[11]",1.61301666666667,0.487060595630189,1,1,2,2,2,0.999998169325246,3e+05,0,1,"State.fin[11]",11,1,1
"State.fin[12]",1.61322666666667,0.487011819730552,1,1,2,2,2,1.00000952083686,145194,0,1,"State.fin[12]",12,1,1
"State.fin[13]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[13]",13,1,1
"State.fin[14]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[14]",14,1,1
"State.fin[15]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[15]",15,1,1
"State.fin[16]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[16]",16,1,1
"State.fin[17]",1.59198666666667,0.491466436581804,1,1,2,2,2,0.999998639334153,3e+05,0,1,"State.fin[17]",17,1,1
"State.fin[18]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[18]",18,1,1
"State.fin[19]",1.59169333333333,0.491521248709232,1,1,2,2,2,0.999997410001273,3e+05,0,1,"State.fin[19]",19,1,1
"State.fin[20]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[20]",20,1,1
"State.fin[21]",1.59099666666667,0.491650701606602,1,1,2,2,2,1.00000050398543,3e+05,0,1,"State.fin[21]",21,1,1
"State.fin[22]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[22]",22,1,1
"State.fin[23]",1.60829333333333,0.488132510902572,1,1,2,2,2,1.0000000641956,3e+05,0,1,"State.fin[23]",23,1,1
"State.fin[24]",1.66158,0.473172959824242,1,1,2,2,2,1.00000319957958,272365,0,1,"State.fin[24]",24,1,1
"State.fin[25]",1.60846666666667,0.488094024078842,1,1,2,2,2,1.00000097006476,3e+05,0,1,"State.fin[25]",25,1,1
"State.fin[26]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[26]",26,1,1
"State.fin[27]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[27]",27,1,1
"State.fin[28]",1.59166,0.491527465896701,1,1,2,2,2,1.00000584191096,190862,0,1,"State.fin[28]",28,1,1
"State.fin[29]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[29]",29,1,1
"State.fin[30]",1.59156333333333,0.491545482512819,1,1,2,2,2,1.00000512440749,204383,0,1,"State.fin[30]",30,1,1
"State.fin[31]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[31]",31,1,1
"State.fin[32]",1.59174,0.491512540716842,1,1,2,2,2,0.999999889166707,3e+05,0,1,"State.fin[32]",32,1,1
"State.fin[33]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[33]",33,1,1
"State.fin[34]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[34]",34,1,1
"State.fin[35]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[35]",35,1,1
"State.fin[36]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[36]",36,1,1
"State.fin[37]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[37]",37,1,1
"State.fin[38]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[38]",38,1,1
"State.fin[39]",1.59216,0.491433962424724,1,1,2,2,2,1.000000608564,3e+05,0,1,"State.fin[39]",39,1,1
"State.fin[40]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[40]",40,1,1
"State.fin[41]",1.61285666666667,0.487097694173802,1,1,2,2,2,0.999997502486901,3e+05,0,1,"State.fin[41]",41,1,1
"State.fin[42]",1.6133,0.486994764393146,1,1,2,2,2,1.00000573393929,196388,0,1,"State.fin[42]",42,1,1
"State.fin[43]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[43]",43,1,1
"State.fin[44]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[44]",44,1,1
"State.fin[45]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[45]",45,1,1
"State.fin[46]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[46]",46,1,1
"State.fin[47]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[47]",47,1,1
"State.fin[48]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[48]",48,1,1
"State.fin[49]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[49]",49,1,1
"State.fin[50]",1.67356333333333,0.468909908451396,1,1,2,2,2,0.999995784700598,3e+05,0,1,"State.fin[50]",50,1,1
"State.fin[1]1",1.96031333333333,0.195222340408988,1,2,2,2,2,1.00005119223074,233512,0,1,"State.fin[1]",1,2,1
"State.fin[2]1",1.90106,0.298581937783548,1,2,2,2,2,1.00002762053402,171963,0,1,"State.fin[2]",2,2,1
"State.fin[3]1",1.91016666666667,0.285943312740158,1,2,2,2,2,0.999995299993956,3e+05,0,1,"State.fin[3]",3,2,1
"State.fin[4]1",1.91268666666667,0.28229413877873,1,2,2,2,2,1.00000724203255,3e+05,0,1,"State.fin[4]",4,2,1
"State.fin[5]1",1.88111,0.323659569741197,1,2,2,2,2,1.00000141197431,3e+05,0,1,"State.fin[5]",5,2,1
"State.fin[6]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[6]",6,2,1
"State.fin[7]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[7]",7,2,1
"State.fin[8]1",1.85885666666667,0.348169925270997,1,2,2,2,2,0.999999859806976,3e+05,0,1,"State.fin[8]",8,2,1
"State.fin[9]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[9]",9,2,1
"State.fin[10]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[10]",10,2,1
"State.fin[11]1",1.88541666666667,0.318518965269982,1,2,2,2,2,1.00000210047418,3e+05,0,1,"State.fin[11]",11,2,1
"State.fin[12]1",1.88610666666667,0.317682197112382,1,2,2,2,2,1.00001453585184,253545,0,1,"State.fin[12]",12,2,1
"State.fin[13]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[13]",13,2,1
"State.fin[14]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[14]",14,2,1
"State.fin[15]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[15]",15,2,1
"State.fin[16]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[16]",16,2,1
"State.fin[17]1",1.85851333333333,0.348523449307989,1,2,2,2,2,0.999997896395079,3e+05,0,1,"State.fin[17]",17,2,1
"State.fin[18]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[18]",18,2,1
"State.fin[19]1",1.85858333333333,0.348451428155415,1,2,2,2,2,1.00000061857766,3e+05,0,1,"State.fin[19]",19,2,1
"State.fin[20]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[20]",20,2,1
"State.fin[21]1",1.85856666666667,0.348468578674448,1,2,2,2,2,1.00005358495069,70325,0,1,"State.fin[21]",21,2,1
"State.fin[22]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[22]",22,2,1
"State.fin[23]1",1.88091333333333,0.323891003538993,1,2,2,2,2,1.00001776382087,209304,0,1,"State.fin[23]",23,2,1
"State.fin[24]1",1.91748,0.275155777640606,1,2,2,2,2,1.00002880862777,195282,0,1,"State.fin[24]",24,2,1
"State.fin[25]1",1.88017,0.324763179363685,1,2,2,2,2,1.0000009963405,3e+05,0,1,"State.fin[25]",25,2,1
"State.fin[26]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[26]",26,2,1
"State.fin[27]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[27]",27,2,1
"State.fin[28]1",1.85852666666667,0.348509733224678,1,2,2,2,2,0.999996620330507,3e+05,0,1,"State.fin[28]",28,2,1
"State.fin[29]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[29]",29,2,1
"State.fin[30]1",1.85932,0.347691732092001,1,2,2,2,2,0.999996947702879,3e+05,0,1,"State.fin[30]",30,2,1
"State.fin[31]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[31]",31,2,1
"State.fin[32]1",1.85842666666667,0.34861257826512,1,2,2,2,2,1.00000497117368,3e+05,0,1,"State.fin[32]",32,2,1
"State.fin[33]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[33]",33,2,1
"State.fin[34]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[34]",34,2,1
"State.fin[35]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[35]",35,2,1
"State.fin[36]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[36]",36,2,1
"State.fin[37]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[37]",37,2,1
"State.fin[38]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[38]",38,2,1
"State.fin[39]1",1.85898,0.348042760848737,1,2,2,2,2,1.00000000196278,3e+05,0,1,"State.fin[39]",39,2,1
"State.fin[40]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[40]",40,2,1
"State.fin[41]1",1.88561666666667,0.318276804143766,1,2,2,2,2,1.00000910209851,3e+05,0,1,"State.fin[41]",41,2,1
"State.fin[42]1",1.88566666666667,0.318216215427112,1,2,2,2,2,1.0000051123013,3e+05,0,1,"State.fin[42]",42,2,1
"State.fin[43]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[43]",43,2,1
"State.fin[44]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[44]",44,2,1
"State.fin[45]1",1.49101,0.49992000656776,1,1,1,2,2,0.999996418761855,3e+05,0,1,"State.fin[45]",45,2,1
"State.fin[46]1",1.50444,0.499981119313919,1,1,2,2,2,0.999996888548141,3e+05,0,1,"State.fin[46]",46,2,1
"State.fin[47]1",1.50362666666667,0.499987680429385,1,1,2,2,2,0.999995616672546,3e+05,0,1,"State.fin[47]",47,2,1
"State.fin[48]1",1.50604,0.499964350343607,1,1,2,2,2,0.999996921621388,3e+05,0,1,"State.fin[48]",48,2,1
"State.fin[49]1",1.49131333333333,0.499925369337069,1,1,1,2,2,0.999995129220435,3e+05,0,1,"State.fin[49]",49,2,1
"State.fin[50]1",1.96027333333333,0.195316629563831,1,2,2,2,2,1.00002596989903,3e+05,0,1,"State.fin[50]",50,2,1
"State.fin[1]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[1]",1,3,1
"State.fin[2]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[2]",2,3,1
"State.fin[3]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[3]",3,3,1
"State.fin[4]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[4]",4,3,1
"State.fin[5]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[5]",5,3,1
"State.fin[6]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[6]",6,3,1
"State.fin[7]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[7]",7,3,1
"State.fin[8]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[8]",8,3,1
"State.fin[9]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[9]",9,3,1
"State.fin[10]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[10]",10,3,1
"State.fin[11]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[11]",11,3,1
"State.fin[12]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[12]",12,3,1
"State.fin[13]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[13]",13,3,1
"State.fin[14]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[14]",14,3,1
"State.fin[15]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[15]",15,3,1
"State.fin[16]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[16]",16,3,1
"State.fin[17]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[17]",17,3,1
"State.fin[18]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[18]",18,3,1
"State.fin[19]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[19]",19,3,1
"State.fin[20]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[20]",20,3,1
"State.fin[21]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[21]",21,3,1
"State.fin[22]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[22]",22,3,1
"State.fin[23]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[23]",23,3,1
"State.fin[24]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[24]",24,3,1
"State.fin[25]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[25]",25,3,1
"State.fin[26]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[26]",26,3,1
"State.fin[27]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[27]",27,3,1
"State.fin[28]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[28]",28,3,1
"State.fin[29]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[29]",29,3,1
"State.fin[30]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[30]",30,3,1
"State.fin[31]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[31]",31,3,1
"State.fin[32]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[32]",32,3,1
"State.fin[33]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[33]",33,3,1
"State.fin[34]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[34]",34,3,1
"State.fin[35]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[35]",35,3,1
"State.fin[36]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[36]",36,3,1
"State.fin[37]2",1.44209333333333,0.496636325810301,1,1,1,2,2,0.999997823590409,3e+05,0,1,"State.fin[37]",37,3,1
"State.fin[38]2",1.44045666666667,0.496442759010138,1,1,1,2,2,0.999997833496104,3e+05,0,1,"State.fin[38]",38,3,1
"State.fin[39]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[39]",39,3,1
"State.fin[40]2",1.42744,0.494707855391651,1,1,1,2,2,1.00000514045783,201490,0,1,"State.fin[40]",40,3,1
"State.fin[41]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[41]",41,3,1
"State.fin[42]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[42]",42,3,1
"State.fin[43]2",1.43996666666667,0.496383742896182,1,1,1,2,2,0.999997176971257,3e+05,0,1,"State.fin[43]",43,3,1
"State.fin[44]2",1.45313666666667,0.49779981318237,1,1,1,2,2,1.00001513512746,100210,0,1,"State.fin[44]",44,3,1
"State.fin[45]2",1.78003333333333,0.414224461085898,1,2,2,2,2,0.99999956334731,3e+05,0,1,"State.fin[45]",45,3,1
"State.fin[46]2",1.78938333333333,0.407747275382302,1,2,2,2,2,0.999998432582185,3e+05,0,1,"State.fin[46]",46,3,1
"State.fin[47]2",1.78374,0.41169427658631,1,2,2,2,2,1.00000145668007,3e+05,0,1,"State.fin[47]",47,3,1
"State.fin[48]2",1.79491,0.40376804644348,1,2,2,2,2,1.00000369716049,3e+05,0,1,"State.fin[48]",48,3,1
"State.fin[49]2",1.73203333333333,0.442900876148199,1,1,2,2,2,0.999999366211298,3e+05,0,1,"State.fin[49]",49,3,1
"State.fin[50]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[50]",50,3,1
"State.fin[1]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[1]",1,4,1
"State.fin[2]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[2]",2,4,1
"State.fin[3]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[3]",3,4,1
"State.fin[4]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[4]",4,4,1
"State.fin[5]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[5]",5,4,1
"State.fin[6]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[6]",6,4,1
"State.fin[7]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[7]",7,4,1
"State.fin[8]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[8]",8,4,1
"State.fin[9]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[9]",9,4,1
"State.fin[10]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[10]",10,4,1
"State.fin[11]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[11]",11,4,1
"State.fin[12]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[12]",12,4,1
"State.fin[13]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[13]",13,4,1
"State.fin[14]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[14]",14,4,1
"State.fin[15]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[15]",15,4,1
"State.fin[16]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[16]",16,4,1
"State.fin[17]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[17]",17,4,1
"State.fin[18]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[18]",18,4,1
"State.fin[19]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[19]",19,4,1
"State.fin[20]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[20]",20,4,1
"State.fin[21]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[21]",21,4,1
"State.fin[22]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[22]",22,4,1
"State.fin[23]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[23]",23,4,1
"State.fin[24]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[24]",24,4,1
"State.fin[25]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[25]",25,4,1
"State.fin[26]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[26]",26,4,1
"State.fin[27]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[27]",27,4,1
"State.fin[28]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[28]",28,4,1
"State.fin[29]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[29]",29,4,1
"State.fin[30]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[30]",30,4,1
"State.fin[31]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[31]",31,4,1
"State.fin[32]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[32]",32,4,1
"State.fin[33]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[33]",33,4,1
"State.fin[34]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[34]",34,4,1
"State.fin[35]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[35]",35,4,1
"State.fin[36]3",1.45631666666667,0.498088941218534,1,1,1,2,2,1.0000029239835,254329,0,1,"State.fin[36]",36,4,1
"State.fin[37]3",1.85879666666667,0.348231756459319,1,2,2,2,2,1.00000515000946,3e+05,0,1,"State.fin[37]",37,4,1
"State.fin[38]3",1.85537333333333,0.351724617169328,1,2,2,2,2,0.999998119358358,3e+05,0,1,"State.fin[38]",38,4,1
"State.fin[39]3",1.4661,0.498850297689996,1,1,1,2,2,0.999996284564244,3e+05,0,1,"State.fin[39]",39,4,1
"State.fin[40]3",1.85878333333333,0.348245493828662,1,2,2,2,2,1.00000343521166,3e+05,0,1,"State.fin[40]",40,4,1
"State.fin[41]3",1.47571666666667,0.49941080394073,1,1,1,2,2,1.00000810589251,152975,0,1,"State.fin[41]",41,4,1
"State.fin[42]3",1.47446,0.499348114607233,1,1,1,2,2,0.999998414934359,3e+05,0,1,"State.fin[42]",42,4,1
"State.fin[43]3",1.85209,0.355011340678257,1,2,2,2,2,1.00000241548384,3e+05,0,1,"State.fin[43]",43,4,1
"State.fin[44]3",1.85709666666667,0.349974826137755,1,2,2,2,2,0.999996783430226,3e+05,0,1,"State.fin[44]",44,4,1
"State.fin[45]3",1.85385333333333,0.353253781932579,1,2,2,2,2,1.00001495637152,200772,0,1,"State.fin[45]",45,4,1
"State.fin[46]3",1.85448,0.352624934003747,1,2,2,2,2,0.99999542790924,3e+05,0,1,"State.fin[46]",46,4,1
"State.fin[47]3",1.8539,0.353207029729996,1,2,2,2,2,1.00002406490285,137847,0,1,"State.fin[47]",47,4,1
"State.fin[48]3",1.85842666666667,0.34861257826512,1,2,2,2,2,0.999998611873617,3e+05,0,1,"State.fin[48]",48,4,1
"State.fin[49]3",1.84633333333333,0.360629526986363,1,2,2,2,2,1.0000004354069,3e+05,0,1,"State.fin[49]",49,4,1
"State.fin[50]3",1.50965333333333,0.49990763765024,1,1,2,2,2,0.999996337077126,3e+05,0,1,"State.fin[50]",50,4,1
"State.fin[1]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[1]",1,5,1
"State.fin[2]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[2]",2,5,1
"State.fin[3]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[3]",3,5,1
"State.fin[4]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[4]",4,5,1
"State.fin[5]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[5]",5,5,1
"State.fin[6]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[6]",6,5,1
"State.fin[7]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[7]",7,5,1
"State.fin[8]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[8]",8,5,1
"State.fin[9]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[9]",9,5,1
"State.fin[10]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[10]",10,5,1
"State.fin[11]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[11]",11,5,1
"State.fin[12]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[12]",12,5,1
"State.fin[13]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[13]",13,5,1
"State.fin[14]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[14]",14,5,1
"State.fin[15]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[15]",15,5,1
"State.fin[16]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[16]",16,5,1
"State.fin[17]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[17]",17,5,1
"State.fin[18]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[18]",18,5,1
"State.fin[19]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[19]",19,5,1
"State.fin[20]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[20]",20,5,1
"State.fin[21]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[21]",21,5,1
"State.fin[22]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[22]",22,5,1
"State.fin[23]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[23]",23,5,1
"State.fin[24]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[24]",24,5,1
"State.fin[25]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[25]",25,5,1
"State.fin[26]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[26]",26,5,1
"State.fin[27]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[27]",27,5,1
"State.fin[28]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[28]",28,5,1
"State.fin[29]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[29]",29,5,1
"State.fin[30]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[30]",30,5,1
"State.fin[31]4",1.45191,0.497682808149185,1,1,1,2,2,0.999995490892133,3e+05,0,1,"State.fin[31]",31,5,1
"State.fin[32]4",1.47423333333333,0.499336469739515,1,1,1,2,2,1.00001071776354,127592,0,1,"State.fin[32]",32,5,1
"State.fin[33]4",1.47204666666667,0.499218831663058,1,1,1,2,2,1.00000272016109,259880,0,1,"State.fin[33]",33,5,1
"State.fin[34]4",1.47175666666667,0.499202508807169,1,1,1,2,2,0.999995803585016,3e+05,0,1,"State.fin[34]",34,5,1
"State.fin[35]4",1.46751333333333,0.498944331871847,1,1,1,2,2,0.999996103775708,3e+05,0,1,"State.fin[35]",35,5,1
"State.fin[36]4",1.77323333333333,0.418741125322064,1,2,2,2,2,0.999995275549689,3e+05,0,1,"State.fin[36]",36,5,1
"State.fin[37]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[37]",37,5,1
"State.fin[38]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[38]",38,5,1
"State.fin[39]4",1.73998333333333,0.438644093866952,1,1,2,2,2,1.0000012759903,3e+05,0,1,"State.fin[39]",39,5,1
"State.fin[40]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[40]",40,5,1
"State.fin[41]4",1.77662333333333,0.416509435334409,1,2,2,2,2,0.999995058321522,3e+05,0,1,"State.fin[41]",41,5,1
"State.fin[42]4",1.77763666666667,0.415834651895535,1,2,2,2,2,1.00000169170839,3e+05,0,1,"State.fin[42]",42,5,1
"State.fin[43]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[43]",43,5,1
"State.fin[44]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[44]",44,5,1
"State.fin[45]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[45]",45,5,1
"State.fin[46]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[46]",46,5,1
"State.fin[47]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[47]",47,5,1
"State.fin[48]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[48]",48,5,1
"State.fin[49]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[49]",49,5,1
"State.fin[50]4",1.86343,0.343393401455863,1,2,2,2,2,1.00000531384778,3e+05,0,1,"State.fin[50]",50,5,1
"State.fin[1]5",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[1]",1,6,1
"State.fin[2]5",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[2]",2,6,1
"State.fin[3]5",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[3]",3,6,1
"State.fin[4]5",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[4]",4,6,1
"State.fin[5]5",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[5]",5,6,1
"State.fin[6]5",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[6]",6,6,1
"State.fin[7]5",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[7]",7,6,1
"State.fin[8]5",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[8]",8,6,1
"State.fin[9]5",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[9]",9,6,1
